Flight ID,Carrier,Origin,Destination,Local Departure Time,Normalized Departure Time [min],Local Arrival Time,Normalized Arrival Time [min],Flight Cancelled?,Number of Seats
7176901,9E,DTW,TUL,29-JUL-07 07.03.00.000000000 PM AMERICA/NEW_YORK,1118,29-JUL-07 08.22.00.000000000 PM AMERICA/CHICAGO,1257,0,50
7208340,AA,IAH,DFW,29-JUL-07 02.15.00.000000000 PM AMERICA/CHICAGO,890,29-JUL-07 03.24.00.000000000 PM AMERICA/CHICAGO,959,0,140
7170049,NW,DTW,IAD,29-JUL-07 01.53.00.000000000 PM AMERICA/NEW_YORK,808,29-JUL-07 03.27.00.000000000 PM AMERICA/NEW_YORK,902,0,124
7170721,NW,DTW,PVD,29-JUL-07 09.13.00.000000000 PM AMERICA/NEW_YORK,1248,29-JUL-07 10.59.00.000000000 PM AMERICA/NEW_YORK,1354,0,124
7174349,NW,PLN,DCA,29-JUL-07 01.00.00.000000000 PM AMERICA/NEW_YORK,755,29-JUL-07 02.30.00.000000000 PM AMERICA/NEW_YORK,845,0,100
7175004,NW,FNT,DTW,29-JUL-07 08.25.00.000000000 AM AMERICA/NEW_YORK,480,29-JUL-07 09.07.00.000000000 AM AMERICA/NEW_YORK,522,0,100
7173556,NW,IAD,DTW,29-JUL-07 04.17.00.000000000 PM AMERICA/NEW_YORK,952,29-JUL-07 05.55.00.000000000 PM AMERICA/NEW_YORK,1050,0,124
7174243,NW,MSP,BIL,29-JUL-07 09.15.00.000000000 PM AMERICA/CHICAGO,1310,29-JUL-07 10.24.00.000000000 PM AMERICA/DENVER,1439,0,124
7173464,NW,DTW,FNT,29-JUL-07 12.06.00.000000000 PM AMERICA/NEW_YORK,701,29-JUL-07 12.45.00.000000000 PM AMERICA/NEW_YORK,740,0,124
7170162,NW,DTW,BUF,29-JUL-07 05.08.00.000000000 PM AMERICA/NEW_YORK,1003,29-JUL-07 06.15.00.000000000 PM AMERICA/NEW_YORK,1070,0,125
7175700,NW,MSP,DCA,29-JUL-07 02.25.00.000000000 PM AMERICA/CHICAGO,900,29-JUL-07 05.46.00.000000000 PM AMERICA/NEW_YORK,1041,1,100
7175724,NW,DCA,MSP,29-JUL-07 07.50.00.000000000 PM AMERICA/NEW_YORK,1165,29-JUL-07 09.30.00.000000000 PM AMERICA/CHICAGO,1325,1,148
7171609,NW,MSO,MSP,29-JUL-07 08.40.00.000000000 AM AMERICA/DENVER,615,29-JUL-07 12.09.00.000000000 PM AMERICA/CHICAGO,764,0,124
7172269,NW,ATL,MSP,29-JUL-07 08.35.00.000000000 AM AMERICA/NEW_YORK,490,29-JUL-07 10.17.00.000000000 AM AMERICA/CHICAGO,652,0,148
7172299,NW,MSP,BNA,29-JUL-07 03.15.00.000000000 PM AMERICA/CHICAGO,950,29-JUL-07 05.14.00.000000000 PM AMERICA/CHICAGO,1069,0,148
7202111,AA,DFW,BNA,29-JUL-07 08.45.00.000000000 PM AMERICA/CHICAGO,1280,29-JUL-07 10.30.00.000000000 PM AMERICA/CHICAGO,1385,0,140
7170840,NW,PVD,DTW,29-JUL-07 09.00.00.000000000 AM AMERICA/NEW_YORK,515,29-JUL-07 10.57.00.000000000 AM AMERICA/NEW_YORK,632,0,148
7178560,9E,DTW,MBS,29-JUL-07 08.55.00.000000000 AM AMERICA/NEW_YORK,510,29-JUL-07 09.45.00.000000000 AM AMERICA/NEW_YORK,560,0,50
7205496,AA,TUL,DFW,29-JUL-07 06.35.00.000000000 PM AMERICA/CHICAGO,1150,29-JUL-07 07.45.00.000000000 PM AMERICA/CHICAGO,1220,1,156
7202774,AA,ORD,LGA,29-JUL-07 08.35.00.000000000 PM AMERICA/CHICAGO,1270,29-JUL-07 11.40.00.000000000 PM AMERICA/NEW_YORK,1395,0,138
7177591,9E,MSP,MDT,29-JUL-07 07.15.00.000000000 PM AMERICA/CHICAGO,1190,29-JUL-07 10.45.00.000000000 PM AMERICA/NEW_YORK,1340,0,50
7209709,AA,SNA,SJC,29-JUL-07 04.45.00.000000000 PM AMERICA/LOS_ANGELES,1160,29-JUL-07 05.55.00.000000000 PM AMERICA/LOS_ANGELES,1230,0,140
7171312,NW,MSP,STL,29-JUL-07 07.20.00.000000000 PM AMERICA/CHICAGO,1195,29-JUL-07 08.58.00.000000000 PM AMERICA/CHICAGO,1293,0,125
7179048,9E,DTW,BNA,29-JUL-07 03.41.00.000000000 PM AMERICA/NEW_YORK,916,29-JUL-07 04.18.00.000000000 PM AMERICA/CHICAGO,1013,0,50
7178295,9E,DTW,GSO,29-JUL-07 09.32.00.000000000 PM AMERICA/NEW_YORK,1267,29-JUL-07 11.10.00.000000000 PM AMERICA/NEW_YORK,1365,0,50
7174834,NW,RDU,DTW,29-JUL-07 09.00.00.000000000 AM AMERICA/NEW_YORK,515,29-JUL-07 10.52.00.000000000 AM AMERICA/NEW_YORK,627,0,124
7176336,9E,MSP,AZO,29-JUL-07 09.15.00.000000000 PM AMERICA/CHICAGO,1310,29-JUL-07 11.32.00.000000000 PM AMERICA/NEW_YORK,1387,0,50
7172999,NW,DTW,CLT,29-JUL-07 10.12.00.000000000 AM AMERICA/NEW_YORK,587,29-JUL-07 11.52.00.000000000 AM AMERICA/NEW_YORK,687,1,125
7175543,NW,DTW,SFO,29-JUL-07 05.25.00.000000000 PM AMERICA/NEW_YORK,1020,29-JUL-07 07.25.00.000000000 PM AMERICA/LOS_ANGELES,1320,0,182
7179274,9E,HPN,DTW,29-JUL-07 03.59.00.000000000 PM AMERICA/NEW_YORK,934,29-JUL-07 05.57.00.000000000 PM AMERICA/NEW_YORK,1052,1,49
7177116,9E,DTW,DLH,29-JUL-07 12.00.00.000000000 PM AMERICA/NEW_YORK,695,29-JUL-07 12.54.00.000000000 PM AMERICA/CHICAGO,809,0,50
