,,,out,,,,,,
7036741,EV,AVL,ATL,29-JUL-07 05.59.00.000000000 PM AMERICA/NEW_YORK,1054,29-JUL-07 07.10.00.000000000 PM AMERICA/NEW_YORK,1125,0,66
7044655,EV,AUS,ATL,29-JUL-07 02.36.00.000000000 PM AMERICA/CHICAGO,911,29-JUL-07 06.03.00.000000000 PM AMERICA/NEW_YORK,1058,0,50
7043880,EV,TOL,ATL,29-JUL-07 01.28.00.000000000 PM AMERICA/NEW_YORK,783,29-JUL-07 03.22.00.000000000 PM AMERICA/NEW_YORK,897,0,45
7044590,EV,ATL,XNA,29-JUL-07 12.25.00.000000000 PM AMERICA/NEW_YORK,720,29-JUL-07 01.10.00.000000000 PM AMERICA/CHICAGO,825,0,50
7039713,EV,MEI,ATL,29-JUL-07 07.00.00.000000000 AM AMERICA/CHICAGO,455,29-JUL-07 09.11.00.000000000 AM AMERICA/NEW_YORK,526,0,50
7036145,EV,ATL,ICT,29-JUL-07 11.30.00.000000000 AM AMERICA/NEW_YORK,665,29-JUL-07 12.45.00.000000000 PM AMERICA/CHICAGO,800,0,50
7036835,EV,MLI,ATL,29-JUL-07 02.20.00.000000000 PM AMERICA/CHICAGO,895,29-JUL-07 05.18.00.000000000 PM AMERICA/NEW_YORK,1013,0,50
7036855,EV,ATL,AGS,29-JUL-07 05.38.00.000000000 PM AMERICA/NEW_YORK,1033,29-JUL-07 06.33.00.000000000 PM AMERICA/NEW_YORK,1088,0,40
7037528,EV,ATL,GSP,29-JUL-07 10.36.00.000000000 PM AMERICA/NEW_YORK,1331,29-JUL-07 11.30.00.000000000 PM AMERICA/NEW_YORK,1385,1,50
7041856,EV,ATL,FNT,29-JUL-07 10.32.00.000000000 AM AMERICA/NEW_YORK,607,29-JUL-07 12.39.00.000000000 PM AMERICA/NEW_YORK,734,0,50
7045530,EV,ATL,HHH,29-JUL-07 02.51.00.000000000 PM AMERICA/NEW_YORK,866,29-JUL-07 04.15.00.000000000 PM AMERICA/NEW_YORK,950,0,66
7046829,EV,ATL,BTV,29-JUL-07 02.42.00.000000000 PM AMERICA/NEW_YORK,857,29-JUL-07 05.18.00.000000000 PM AMERICA/NEW_YORK,1013,0,50
7042651,EV,ABY,ATL,29-JUL-07 05.45.00.000000000 PM AMERICA/NEW_YORK,1040,29-JUL-07 06.47.00.000000000 PM AMERICA/NEW_YORK,1102,0,40
7039070,EV,ATL,XNA,29-JUL-07 05.12.00.000000000 PM AMERICA/NEW_YORK,1007,29-JUL-07 06.05.00.000000000 PM AMERICA/CHICAGO,1120,0,50
7039093,EV,ATL,ILM,29-JUL-07 08.40.00.000000000 AM AMERICA/NEW_YORK,495,29-JUL-07 10.04.00.000000000 AM AMERICA/NEW_YORK,579,0,50
7046900,EV,AGS,ATL,29-JUL-07 07.15.00.000000000 AM AMERICA/NEW_YORK,410,29-JUL-07 08.19.00.000000000 AM AMERICA/NEW_YORK,474,0,50
7036658,EV,ATL,FAY,29-JUL-07 11.44.00.000000000 AM AMERICA/NEW_YORK,679,29-JUL-07 01.00.00.000000000 PM AMERICA/NEW_YORK,755,0,50
7052587,EV,ATL,ERI,29-JUL-07 03.01.00.000000000 PM AMERICA/NEW_YORK,876,29-JUL-07 04.51.00.000000000 PM AMERICA/NEW_YORK,986,0,50
7045199,EV,HPN,ATL,29-JUL-07 08.15.00.000000000 AM AMERICA/NEW_YORK,470,29-JUL-07 10.35.00.000000000 AM AMERICA/NEW_YORK,610,0,50
7040975,EV,ATL,PHF,29-JUL-07 12.42.00.000000000 PM AMERICA/NEW_YORK,737,29-JUL-07 02.23.00.000000000 PM AMERICA/NEW_YORK,838,0,70
7037386,EV,ICT,ATL,29-JUL-07 07.30.00.000000000 AM AMERICA/CHICAGO,485,29-JUL-07 10.43.00.000000000 AM AMERICA/NEW_YORK,618,0,50
7038096,EV,ATL,EVV,29-JUL-07 08.55.00.000000000 PM AMERICA/NEW_YORK,1230,29-JUL-07 09.18.00.000000000 PM AMERICA/CHICAGO,1313,0,48
7045889,EV,MYR,ATL,29-JUL-07 02.30.00.000000000 PM AMERICA/NEW_YORK,845,29-JUL-07 04.19.00.000000000 PM AMERICA/NEW_YORK,954,0,66
7041093,EV,MLI,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/CHICAGO,395,29-JUL-07 09.03.00.000000000 AM AMERICA/NEW_YORK,518,0,50
7041696,EV,ATL,PNS,29-JUL-07 03.45.00.000000000 PM AMERICA/NEW_YORK,920,29-JUL-07 03.52.00.000000000 PM AMERICA/CHICAGO,987,0,50
7038170,EV,ATL,AGS,29-JUL-07 10.58.00.000000000 PM AMERICA/NEW_YORK,1353,29-JUL-07 11.45.00.000000000 PM AMERICA/NEW_YORK,1400,0,55
